#: table_doi: 10.17182/hepdata.102956.v1/t38
#: name: parton_abs_ttm_covariance
#: description: differential cross sections.
#: data_file: parton_abs_ttm_covariance.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword observables: DN/DQ(TT)
#: keyword cmenergies: 13000.0
#: keyword phrases: Differential Cross Section | Cross Section | Proton-Proton Scattering | top quark Production | top quark pair Production
bin number,bin number LOW,bin number HIGH,bin number,bin number LOW,bin number HIGH,covariance
7.0,6.5,7.5,7.0,6.5,7.5,1.423e-05
8.0,7.5,8.5,7.0,6.5,7.5,1.932e-06
9.0,8.5,9.5,7.0,6.5,7.5,3.462e-06
10.0,9.5,10.5,7.0,6.5,7.5,1.035e-06
11.0,10.5,11.5,7.0,6.5,7.5,6.117e-07
12.0,11.5,12.5,7.0,6.5,7.5,2.469e-07
13.0,12.5,13.5,7.0,6.5,7.5,9.665e-08
14.0,13.5,14.5,7.0,6.5,7.5,2.991e-08
15.0,14.5,15.5,7.0,6.5,7.5,3.838e-09
1.0,0.5,1.5,8.0,7.5,8.5,5.437e-06
2.0,1.5,2.5,8.0,7.5,8.5,7.04e-05
3.0,2.5,3.5,8.0,7.5,8.5,3.989e-05
4.0,3.5,4.5,8.0,7.5,8.5,2.746e-05
5.0,4.5,5.5,8.0,7.5,8.5,1.211e-05
6.0,5.5,6.5,8.0,7.5,8.5,1.386e-05
7.0,6.5,7.5,8.0,7.5,8.5,1.932e-06
8.0,7.5,8.5,8.0,7.5,8.5,6.357e-06
9.0,8.5,9.5,8.0,7.5,8.5,6.749e-07
10.0,9.5,10.5,8.0,7.5,8.5,1.282e-06
11.0,10.5,11.5,8.0,7.5,8.5,2.496e-07
12.0,11.5,12.5,8.0,7.5,8.5,2.156e-07
13.0,12.5,13.5,8.0,7.5,8.5,5.834e-08
14.0,13.5,14.5,8.0,7.5,8.5,2.304e-08
15.0,14.5,15.5,8.0,7.5,8.5,2.352e-09
1.0,0.5,1.5,9.0,8.5,9.5,2.1e-06
2.0,1.5,2.5,9.0,8.5,9.5,3.258e-05
3.0,2.5,3.5,9.0,8.5,9.5,1.939e-05
4.0,3.5,4.5,9.0,8.5,9.5,1.144e-05
5.0,4.5,5.5,9.0,8.5,9.5,7.816e-06
6.0,5.5,6.5,9.0,8.5,9.5,3.492e-06
7.0,6.5,7.5,9.0,8.5,9.5,3.462e-06
8.0,7.5,8.5,9.0,8.5,9.5,6.749e-07
9.0,8.5,9.5,9.0,8.5,9.5,1.264e-06
10.0,9.5,10.5,9.0,8.5,9.5,1.807e-07
11.0,10.5,11.5,9.0,8.5,9.5,2.354e-07
12.0,11.5,12.5,9.0,8.5,9.5,6.177e-08
13.0,12.5,13.5,9.0,8.5,9.5,3.357e-08
14.0,13.5,14.5,9.0,8.5,9.5,8.972e-09
15.0,14.5,15.5,9.0,8.5,9.5,1.248e-09
1.0,0.5,1.5,10.0,9.5,10.5,1.681e-06
2.0,1.5,2.5,10.0,9.5,10.5,1.723e-05
3.0,2.5,3.5,10.0,9.5,10.5,1.022e-05
4.0,3.5,4.5,10.0,9.5,10.5,6.574e-06
5.0,4.5,5.5,10.0,9.5,10.5,3.561e-06
6.0,5.5,6.5,10.0,9.5,10.5,2.842e-06
7.0,6.5,7.5,10.0,9.5,10.5,1.035e-06
8.0,7.5,8.5,10.0,9.5,10.5,1.282e-06
